Step,Average Reward
30,4.387670666270194
60,4.505491179149099
90,3.952466574685648
120,4.710010128162372
150,4.6239087409443185
180,3.8239087409443187
210,2.3416633603633015
240,3.8239087409443187
270,3.8204866628810805
300,4.862961580482987
330,4.738000860690888
360,4.365725463569209
390,4.27758352229039
420,4.3326513211667175
450,5.439570170727594
480,4.9070033928098455
510,5.033651305906871
540,4.661597990862489
570,4.512559134909485
600,4.65967125629238
630,5.0557853153564425
660,4.702831781275907
690,5.480815534587415
720,5.088452468062432
750,4.0506458758601465
780,4.609980248785092
810,4.493615053649439
840,4.7574764376192515
870,4.474874381105275
900,4.719726112412354
930,5.157075993366366
960,4.2465060752327055
990,4.5215108189444795
30,4.587978003701886
60,4.704724774251053
90,5.02866477303552
120,4.900754251700448
150,4.636859112333213
180,4.464256050538838
210,4.732760766471954
240,4.831387779312903
270,4.751871464677473
300,4.459209591120938
330,4.6070656908413525
360,4.785336938066278
390,4.626847372499503
420,3.9785879172466574
450,4.430318987165749
480,4.290908477098092
510,4.745111360293791
540,4.969394737046295
570,4.635138832952464
600,4.516294167383337
630,4.394356543571989
660,4.1685611569107675
690,5.160709828461284
720,4.903178565415185
750,4.059092651872646
780,4.1332422800653985
810,4.540138110677946
840,4.651582342481785
870,4.6239087409443185
900,4.674304541098487
930,4.7822889893346066
960,4.801955620014395
990,4.856309623711755
1020,4.740666339079067
1050,4.7752012790885745
30,3.4518259001721936
30,3.5165181843753697
30,3.593431202927668
30,3.7448519630435375
30,3.9271359991421293
30,3.9189925867682933
30,3.8304453316466085
30,3.8026950345564012
30,3.802695034556401
30,3.8153542006908556
30,3.8469462134212358
30,3.81430472080759
30,3.8809713874742564
30,3.880971387474256
30,3.9476380541409224
30,3.9813523695336155
30,4.241708385373967
30,4.408756034099993
30,4.47542270076666
30,4.484458259842878
30,4.529253030028808
30,4.468875709574264
30,4.468875709574264
30,4.4022090429075975
30,4.3742213254006925
30,4.347871825885447
30,4.407143534231568
30,4.4348668337439205
30,4.501533500410587
30,4.568200167077253
30,4.63486683374392
30,4.6211772499978965
30,4.526760286241021
30,4.608672859458485
30,4.6263888233598935
30,4.8850023964328235
30,5.040216318221175
30,5.0679666153113825
30,5.001299948644716
30,4.9593995097553965
30,4.935719527551503
30,4.9683610201651485
30,4.9683610201651485
30,5.035027686831815
30,4.9395176392950635
30,4.908144971408394
30,4.806333049330974
30,4.806333049330974
30,4.739666382664308
30,4.731157299160865
30,4.692530732365222
30,4.74567949268447
30,4.6790128260178045
30,4.679012826017803
30,4.742257414621232
30,4.575590747954565
30,4.349652372941777
30,4.215064880645452
30,4.197928053279691
30,3.964594719946357
30,3.7312613866130238
30,3.6281511903217165
30,3.655901487411924
30,3.5892348207452573
30,3.5892348207452573
30,3.5892348207452573
30,3.389527284888841
30,3.1668192436429883
30,3.1668192436429883
30,3.219653465377294
30,3.2433334475811875
30,3.284552514462423
30,3.191013181996293
30,3.1471242109972546
30,3.242634258534006
30,3.2073402597540093
30,3.2704732326716672
30,3.189607608262591
30,3.256274274929258
30,3.2647833584327013
30,3.342418649074842
30,3.3778171438772793
30,3.4444838105439457
30,3.5111504772106126
30,3.5145725552738507
30,3.747905888607184
30,3.89657548578788
30,4.037464852624875
30,3.9879350133239684
30,3.972356299409618
30,3.986619740477934
30,4.119953073811268
30,4.119953073811268
30,4.150172350972526
30,4.113724961467118
30,4.113724961467118
30,4.3383643794910975
30,4.546516000814815
30,4.613182667481482
30,4.627015112413843
30,4.627015112413843
