Step,Average Reward
30,4.94242991615359
60,5.100817487787672
90,5.008011468967417
120,4.9668642247415855
150,4.743364887035763
180,4.6673656810603275
210,4.344880158227895
240,4.850570476751274
270,4.874228153938134
300,4.787450326492272
330,4.86036517492543
360,4.927628158404681
390,4.783536445956175
420,4.944176340885208
450,4.415655720380848
480,4.914776468687203
510,4.935361830165023
540,4.7755089026599835
570,4.988647230315304
600,4.844553475050604
630,4.8721685922633275
660,4.856680924992915
690,4.8626706494507115
720,4.912566107691446
30,4.48548097107387
60,4.873739145854247
90,4.7362079708111
120,4.787582406566364
150,4.932075192492216
180,4.744204326583727
210,4.8821626651864705
240,4.796147491371284
270,4.8775985934691555
300,4.9285364831248675
330,4.861271979351416
360,4.92930877776769
390,4.924502254922919
420,4.884875640171228
450,4.85573504445729
480,4.853308637146467
510,4.792083888866235
540,4.920476419581913
570,4.858671429440346
600,4.782357183125415
630,4.799234397077776
660,5.066272396615964
690,4.935398729724538
720,4.857213854566224
750,4.812896244900047
780,4.859478519066842
810,4.779011387749633
30,3.685020576229207
30,3.751736720438145
30,3.5140051216998196
30,3.3796373139084874
30,3.612970647241821
30,3.7474181057580522
30,3.7474181057580522
30,3.744187771991117
30,3.807848550979481
30,3.812013175533091
30,4.047279573765681
30,4.18118068507564
30,4.24910697043862
30,4.249750475611799
30,4.485016873844389
30,4.617143134755907
30,4.62256737800583
30,4.5570594482144715
30,4.5583190669107845
30,4.5595261393326
30,4.728716829797204
30,4.86089142625523
30,4.861564872458173
30,4.793518449619565
30,4.729270138524519
30,4.728010519828206
30,4.6630489372431185
30,4.596382270576452
30,4.593417567798559
30,4.655594282001976
30,4.654950776828798
30,4.588900223685264
30,4.888309264786583
30,5.025641775355808
30,5.023791197760814
30,5.024998270182629
30,5.092255895747977
30,5.093462968169791
30,5.097627592723401
30,5.09703663382472
30,5.096363187621778
30,5.030903593376925
30,5.0259389596098565
30,5.025295454436677
30,5.089438097305406
30,5.0912886749004
30,5.091288674900401
30,5.156796604691761
30,5.15615309951858
30,4.922203652662114
30,4.852445184220883
30,4.786346295530843
30,4.786346295530843
30,4.849521783846843
30,4.912697272162843
30,4.913956890859156
30,4.981239671048956
30,5.047906337715623
30,4.9823537962318545
30,4.986200243521924
30,4.986200243521924
30,4.986200243521924
30,4.7547174877835845
30,4.52138415445025
