Analysis Counter,Node,Read time,Write time,Embedding time,Choose action,Reward calculate,Execution time,Training time
1,sta3,16190.710306167603,0.08749961853027344,0.3559589385986328,107.00178146362305,0,16298.31600189209,0
2,sta3,2.5222301483154297,0.051975250244140625,0.22149085998535156,5.911111831665039,0,8.774280548095703,0
3,sta3,30.44605255126953,0.0782012939453125,0.2429485321044922,8.653640747070312,0.020742416381835938,39.576053619384766,0
4,sta3,0.2529621124267578,0.04553794860839844,0.20575523376464844,6.685733795166016,0.011444091796875,7.30586051940918,0
5,sta3,62.0274543762207,0.11467933654785156,0.49495697021484375,18.721818923950195,0.022172927856445312,81.62117004394531,0
6,sta3,1.0058879852294922,0.1201629638671875,0.6203651428222656,17.52471923828125,0.022411346435546875,19.57535743713379,0
7,sta3,68.62330436706543,0.11610984802246094,0.5331039428710938,16.520023345947266,0.019788742065429688,86.13967895507812,0
8,sta3,74.66340065002441,0.05173683166503906,0.24390220642089844,6.176948547363281,0.008821487426757812,81.25019073486328,0
9,sta3,30.609130859375,0.09703636169433594,0.3554821014404297,15.508651733398438,0.017881393432617188,46.77176475524902,0
10,sta3,141.6764259338379,0.1125335693359375,0.6165504455566406,17.803192138671875,0.02384185791015625,160.49861907958984,0
11,sta3,31.768321990966797,0.15044212341308594,0.6177425384521484,17.668962478637695,0.02288818359375,50.50015449523926,0
12,sta3,10.399580001831055,0.0553131103515625,0.19621849060058594,6.505727767944336,0.009775161743164062,17.270565032958984,0
13,sta3,22.799015045166016,0.05817413330078125,0.22459030151367188,7.251977920532227,0.009298324584960938,30.447006225585938,0
14,sta3,0.3345012664794922,0.04696846008300781,0.13446807861328125,6.286144256591797,0.0073909759521484375,6.88624382019043,0
15,sta3,31.274080276489258,0.10013580322265625,0.23627281188964844,16.095638275146484,0.02002716064453125,47.905683517456055,0
16,sta3,0.9660720825195312,0.0476837158203125,0.3581047058105469,12.503623962402344,0.010251998901367188,14.001607894897461,0
17,sta3,32.2415828704834,0.10323524475097656,0.4448890686035156,15.166997909545898,0.0209808349609375,48.229217529296875,0
18,sta3,3.195524215698242,0.07176399230957031,0.2815723419189453,11.963367462158203,0.01049041748046875,15.638589859008789,0
19,sta3,15.219449996948242,0.049114227294921875,0.2193450927734375,6.245851516723633,0.009298324584960938,21.838903427124023,0
20,sta3,30.577659606933594,0.04124641418457031,0.3497600555419922,9.839057922363281,0.0069141387939453125,40.94696044921875,0
21,sta3,48.47121238708496,0.08869171142578125,0.44846534729003906,10.235309600830078,0.01621246337890625,59.44705009460449,0
22,sta3,0.9307861328125,0.08082389831542969,0.2574920654296875,10.900259017944336,0.014781951904296875,12.32767105102539,0
23,sta3,38.94519805908203,0.11849403381347656,0.5276203155517578,15.70439338684082,0.020503997802734375,55.56368827819824,0
24,sta3,0.6160736083984375,0.07867813110351562,0.3600120544433594,13.525009155273438,0.013113021850585938,14.758586883544922,0
25,sta3,15.650033950805664,0.06175041198730469,0.25153160095214844,6.220102310180664,0.01049041748046875,22.293806076049805,0
26,sta3,10.461568832397461,0.06031990051269531,0.2014636993408203,6.018161773681641,0.009298324584960938,16.877412796020508,0
27,sta3,3.7848949432373047,0.04696846008300781,0.16045570373535156,6.299734115600586,0.00667572021484375,10.372400283813477,0
28,sta3,289.2758846282959,0.091552734375,0.5173683166503906,16.439437866210938,0.019073486328125,306.55598640441895,0
29,sta3,329.2498588562012,0.0476837158203125,0.5252361297607422,8.44883918762207,0.0069141387939453125,338.4382724761963,0
30,sta3,8.16965103149414,0.07510185241699219,0.31280517578125,8.417844772338867,0.0095367431640625,17.096996307373047,0
31,sta3,65.1695728302002,0.05507469177246094,0.7665157318115234,19.06895637512207,0.0073909759521484375,85.21485328674316,0
32,sta3,165.6937599182129,0.08225440979003906,0.3058910369873047,9.717941284179688,0.009775161743164062,175.96006393432617,0
33,sta3,0.232696533203125,0.03933906555175781,0.14328956604003906,5.617856979370117,0.005245208740234375,6.103992462158203,0
34,sta3,0.11086463928222656,0.03218650817871094,0.12564659118652344,5.131959915161133,0.0050067901611328125,5.458593368530273,0
35,sta3,0.22840499877929688,0.028371810913085938,0.12803077697753906,4.829168319702148,0.004291534423828125,5.276918411254883,0
36,sta3,0.1671314239501953,0.030279159545898438,0.11897087097167969,4.895687103271484,0.0045299530029296875,5.266427993774414,0
37,sta3,0.14925003051757812,0.033855438232421875,0.12159347534179688,5.001544952392578,0.0054836273193359375,5.365610122680664,0
38,sta3,113.65151405334473,0.05054473876953125,0.7157325744628906,19.604921340942383,0.00762939453125,134.20796394348145,0
39,sta3,32.73129463195801,0.05221366882324219,0.5350112915039062,13.594627380371094,0.00858306884765625,47.08290100097656,0
40,sta3,105.07893562316895,0.09179115295410156,0.7767677307128906,17.757415771484375,0.011205673217773438,123.9016056060791,0
41,sta3,32.92083740234375,0.05078315734863281,0.9024143218994141,18.706083297729492,0.0095367431640625,52.753448486328125,0
42,sta3,366.2710189819336,0.05984306335449219,0.7281303405761719,12.328147888183594,0.00667572021484375,379.54258918762207,0
43,sta3,36.621809005737305,0.05340576171875,0.2353191375732422,6.022453308105469,0.0073909759521484375,43.02716255187988,0
44,sta3,158.36071968078613,0.058650970458984375,0.44274330139160156,8.249998092651367,0.00762939453125,167.25611686706543,0
45,sta3,7.541418075561523,0.05412101745605469,0.18405914306640625,6.056308746337891,0.00762939453125,13.94200325012207,0
46,sta3,46.17738723754883,0.05793571472167969,0.5509853363037109,13.367891311645508,0.009775161743164062,60.31608581542969,0
47,sta3,149.3988037109375,0.06341934204101562,0.66375732421875,15.827178955078125,0.010728836059570312,166.16201400756836,0
48,sta3,127.24685668945312,0.062465667724609375,0.6918907165527344,20.002126693725586,0.011444091796875,148.19622039794922,0
49,sta3,164.33048248291016,0.05984306335449219,0.5357265472412109,9.155988693237305,0.008821487426757812,174.23105239868164,0
50,sta3,154.2065143585205,0.06198883056640625,0.6530284881591797,15.732049942016602,0.012874603271484375,170.84169387817383,0
51,sta3,46.13184928894043,0.05626678466796875,0.31828880310058594,8.912324905395508,0.0054836273193359375,55.5415153503418,0
